uri,type,jurisdiction,title,date_valid,publication_status,date_copyright,author,publisher,rights,description,subject,education_level,score_range,authority_status,statement_notation,statement_label,list_id,local_subject,comment,is_part_of,is_version_of,exact_match,concept_term,alt_statement_notation,is_child_of,has_child,indexing_status,creator,created
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,Statement,,,,,,,,,"Evaluation of Models, Inferences, and Experimental Results (EMI)",Science,,,Original,,,,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,"http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI201,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI301,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI302,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI401,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI402,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI403,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI404,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI501,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI502,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI503,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI504,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI505,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI601,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI602,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI603,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI701,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI702",Non-indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI201,Statement,,,,,,,,,Find basic information in a model (conceptual),Science,,13-15,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI301,Statement,,,,,,,,,Identify implications in a model,Science,,16-19,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI302,Statement,,,,,,,,,Determine which models present certain basic information,Science,,16-19,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI401,Statement,,,,,,,,,"Determine which simple hypothesis, prediction, or conclusion is, or is not, consistent with a data presentation, model, or piece of information in text",Science,,20-23,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI402,Statement,,,,,,,,,Identify key assumptions in a model,Science,,20-23,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI403,Statement,,,,,,,,,Determine which models imply certain information,Science,,20-23,Original,,,3,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI404,Statement,,,,,,,,,Identify similarities and differences between models,Science,,20-23,Original,,,4,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI501,Statement,,,,,,,,,"Determine which simple hypothesis, prediction, or conclusion is, or is not, consistent with data presentations, models, and/or pieces of information in text",Science,,24-27,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI502,Statement,,,,,,,,,"Determine whether presented information, or new information, supports or contradicts a simple hypothesis or conclusion, and why",Science,,24-27,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI503,Statement,,,,,,,,,Identify the strengths and weaknesses of models,Science,,24-27,Original,,,3,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
